WBGeneID,class
WBGene00194687,ClassB
WBGene00194689,ClassC
WBGene00194713,ClassD
WBGene00194742,ClassA
WBGene00194815,ClassB
WBGene00194848,ClassA
WBGene00195077,ClassC
WBGene00195145,ClassB
WBGene00202511,ClassC
WBGene00206354,ClassC
WBGene00206381,ClassC
WBGene00206413,ClassA
WBGene00219216,ClassC
WBGene00219283,ClassA
WBGene00219316,ClassA
WBGene00219376,ClassA
WBGene00235133,ClassB
WBGene00235352,ClassB
